SNo,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
337,Jonathan Mogbo,TOR,23,63,18,45,20.4,6.2,2.5,5.7,43.8,0.3,1.1,24.3,1.0,1.3,73.2,1.7,3.2,4.9,2.3,1.1,0.9,0.5,2.2,18.7,3.0,1.0,-3.8
338,Jarace Walker,IND,21,75,45,30,15.8,6.1,2.3,4.8,47.2,1.0,2.5,40.5,0.6,0.9,66.7,0.3,2.7,3.1,1.5,1.0,0.7,0.3,1.5,14.1,0.0,0.0,-1.9
339,Isaac Okoro,CLE,24,55,44,11,19.1,6.1,2.3,4.9,46.4,1.0,2.7,37.1,0.6,0.8,71.7,0.9,1.5,2.4,1.2,0.4,0.6,0.3,1.9,13.0,0.0,0.0,4.6
340,Isaiah Stewart,DET,23,72,38,34,19.9,6.0,2.4,4.4,55.9,0.2,0.7,32.1,0.9,1.2,75.9,1.8,3.7,5.5,1.7,0.9,0.4,1.4,2.5,19.7,2.0,0.0,0.1
341,Luke Kornet,BOS,29,73,53,20,18.6,6.0,2.6,3.8,66.8,0.0,0.0,0.0,0.9,1.3,69.1,2.6,2.7,5.3,1.6,0.4,0.5,1.0,1.6,18.8,3.0,0.0,5.5
342,Isaiah Mobley,PHI,25,1,0,1,17.4,6.0,2.0,7.0,28.6,1.0,3.0,33.3,1.0,2.0,50.0,1.0,3.0,4.0,5.0,0.0,1.0,1.0,3.0,24.3,0.0,0.0,-6.0
343,Isaiah Wong,CHA,24,20,2,18,13.3,6.0,2.1,5.3,39.0,0.7,1.7,39.4,1.3,1.7,73.5,0.7,0.9,1.6,1.4,0.9,0.6,0.0,1.1,10.8,0.0,0.0,-0.3
344,James Wiseman,IND,24,1,1,0,4.6,6.0,2.0,4.0,50.0,0.0,1.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,-4.0
345,N'Faly Dante,HOU,23,4,0,4,12.7,6.0,2.5,3.3,76.9,0.0,0.0,0.0,1.0,1.3,80.0,1.5,3.8,5.3,0.5,0.5,0.3,1.3,2.3,17.1,0.0,0.0,-2.8
346,Mouhamed Gueye,ATL,22,33,15,18,16.1,6.0,2.2,5.2,42.1,0.6,2.5,25.9,1.0,1.3,76.2,1.3,2.9,4.2,0.8,0.5,0.8,1.0,1.7,17.3,2.0,0.0,2.6
347,Simone Fontecchio,DET,29,75,38,37,16.5,5.9,2.0,5.0,40.2,1.0,3.0,33.5,0.9,1.1,83.3,0.7,2.2,2.9,0.9,0.7,0.4,0.2,1.3,11.7,0.0,0.0,0.2
348,Jaylin Williams,OKC,22,47,40,7,16.7,5.9,2.1,4.7,43.9,1.3,3.3,39.9,0.5,0.6,76.7,1.0,4.6,5.6,2.6,0.7,0.5,0.6,1.7,18.9,4.0,3.0,6.4
349,Cole Swider,TOR,25,10,5,5,17.0,5.9,2.2,6.3,34.9,1.5,4.7,31.9,0.0,0.1,0.0,0.5,2.2,2.7,0.3,0.4,0.4,0.2,1.2,11.0,0.0,0.0,5.4
350,Chuma Okeke,CLE,26,9,2,7,21.9,5.9,2.2,4.4,50.0,1.2,3.1,39.3,0.2,0.3,66.7,2.3,2.9,5.2,1.7,0.3,0.6,0.4,0.6,17.3,1.0,0.0,-3.1
351,Tidjane Salaün,CHA,19,60,12,48,20.7,5.9,1.9,5.8,33.0,1.0,3.4,28.3,1.1,1.6,71.3,1.2,3.5,4.7,1.2,1.0,0.5,0.2,1.4,14.5,2.0,0.0,-5.4
352,Collin Gillespie,PHX,25,33,12,21,14.0,5.9,2.1,4.8,43.0,1.2,2.7,43.3,0.6,0.7,86.4,0.7,1.7,2.4,2.4,0.5,0.6,0.2,0.9,14.1,1.0,0.0,-0.9
353,Kyle Anderson,MIA,31,61,30,31,16.4,5.9,2.3,5.0,46.9,0.4,1.1,35.7,0.8,1.1,73.8,0.9,2.5,3.4,2.4,0.6,0.7,0.5,1.3,16.5,2.0,0.0,-0.4
354,Moses Brown,DAL,25,13,5,8,9.1,5.8,2.6,3.8,69.4,0.0,0.0,0.0,0.6,0.8,72.7,0.9,2.5,3.4,0.2,0.8,0.5,0.3,1.3,11.6,1.0,0.0,-1.1
355,Adem Bona,PHI,22,58,12,46,15.6,5.8,2.3,3.3,70.3,0.0,0.0,0.0,1.2,1.7,67.0,1.6,2.6,4.2,0.5,1.1,0.4,1.2,2.2,15.4,3.0,0.0,-1.9
356,Robert Williams III,POR,27,20,7,13,17.6,5.8,2.5,3.9,64.1,0.1,0.2,33.3,0.8,0.9,88.2,1.8,4.2,5.9,1.1,0.9,0.7,1.7,1.6,20.5,0.0,0.0,-0.9
357,Quenton Jackson,IND,26,28,14,14,13.6,5.8,2.1,4.4,47.5,0.5,1.4,37.5,1.1,1.4,77.5,0.5,1.1,1.6,1.9,0.6,0.8,0.2,1.5,12.7,0.0,0.0,0.0
358,Landry Shamet,NYK,28,50,30,20,15.2,5.7,2.1,4.6,46.1,1.2,3.1,39.7,0.2,0.4,66.7,0.2,1.0,1.2,0.5,0.4,0.5,0.0,1.0,9.1,0.0,0.0,1.8
359,Dariq Whitehead,BKN,20,20,6,14,12.3,5.7,2.0,4.8,40.6,1.7,3.7,44.6,0.2,0.3,60.0,0.2,1.3,1.5,0.6,0.8,0.3,0.1,1.1,8.6,0.0,0.0,-3.2
360,Moussa Diabaté,CHA,23,71,15,56,17.5,5.7,2.4,3.9,59.6,0.0,0.1,0.0,1.0,1.6,59.5,2.6,3.5,6.2,0.8,0.9,0.6,0.6,1.5,17.0,7.0,0.0,-1.7
361,Jordan Goodwin,LAL,26,29,17,12,18.7,5.6,2.2,5.0,43.8,0.9,2.3,38.2,0.3,0.4,81.8,1.3,2.6,3.9,1.4,0.9,1.0,0.4,1.5,15.7,0.0,0.0,-0.4
362,Shake Milton,LAL,28,57,29,28,14.7,5.5,2.0,4.5,45.3,0.7,1.9,35.8,0.8,1.0,79.7,0.5,1.3,1.8,1.8,0.7,0.4,0.1,1.2,11.2,1.0,0.0,-2.1
363,Aaron Holiday,HOU,28,62,39,23,12.8,5.5,1.9,4.3,43.7,1.2,2.9,39.8,0.5,0.7,82.9,0.2,1.0,1.3,1.3,0.6,0.3,0.2,1.0,9.9,0.0,0.0,1.4
364,Dean Wade,CLE,28,59,47,12,21.2,5.4,1.9,4.6,41.3,1.4,3.8,36.0,0.3,0.5,53.3,0.9,3.4,4.2,1.3,0.4,0.7,0.3,1.7,15.2,1.0,0.0,4.8
365,Keaton Wallace,ATL,26,31,15,16,16.2,5.4,2.1,5.2,40.1,0.9,2.6,32.9,0.4,0.4,100,0.2,1.4,1.6,2.6,1.1,0.9,0.3,1.3,13.8,1.0,1.0,-0.6
366,Jeff Green,HOU,38,32,20,12,12.4,5.4,1.9,3.8,50.4,0.9,2.5,36.7,0.7,0.8,80.8,0.3,1.5,1.8,0.6,0.3,0.2,0.1,1.0,9.1,0.0,0.0,-1.2
367,Jonathan Isaac,ORL,27,71,35,36,15.4,5.4,1.9,4.6,41.4,0.5,2.1,25.8,1.0,1.5,68.2,1.7,2.7,4.4,0.6,0.5,0.9,1.1,1.3,17.0,2.0,0.0,-0.5
368,Kevin Love,MIA,36,23,13,10,10.9,5.3,1.8,5.0,35.7,1.0,2.9,35.8,0.7,1.0,69.6,1.0,3.1,4.1,1.0,0.6,0.7,0.2,0.9,13.5,0.0,0.0,-1.1
369,Kobe Bufkin,ATL,21,10,6,4,12.4,5.3,1.8,4.7,38.3,0.4,1.9,21.1,1.3,1.8,72.2,0.5,1.6,2.1,1.7,0.8,0.3,0.2,0.9,11.1,0.0,0.0,-2.3
370,Jamal Cain,NOP,26,37,6,31,13.6,5.3,1.8,4.3,43.0,0.7,2.2,32.5,0.9,1.4,68.0,0.7,1.6,2.3,0.6,0.6,0.6,0.2,1.2,10.9,0.0,0.0,-3.6
371,Ben Sheppard,IND,23,63,40,23,19.5,5.3,1.9,4.6,41.8,1.1,3.2,34.2,0.4,0.4,88.9,0.7,2.1,2.8,1.3,0.3,0.6,0.2,2.0,12.8,0.0,0.0,-0.9
372,Pat Connaughton,MIL,32,41,19,22,14.7,5.3,2.0,4.3,46.9,0.6,2.0,32.1,0.6,0.8,77.4,0.5,2.2,2.7,1.7,0.6,0.2,0.3,1.1,11.9,1.0,0.0,-0.3
373,Jabari Walker,POR,22,60,23,37,12.5,5.2,2.0,3.8,51.5,0.5,1.2,38.9,0.8,1.2,69.0,1.0,2.5,3.5,0.6,0.6,0.6,0.1,1.5,11.7,1.0,0.0,0.3
374,Monté Morris,PHX,29,45,21,24,12.7,5.2,1.8,4.3,42.6,0.7,1.9,36.0,0.8,0.9,85.7,0.3,1.2,1.5,1.6,0.5,0.4,0.1,0.5,10.5,0.0,0.0,1.0
375,Bismack Biyombo,SAS,32,28,10,18,18.8,5.1,2.4,4.1,58.8,0.0,0.0,0.0,0.4,0.9,40.0,1.5,4.1,5.6,1.1,1.0,0.6,0.8,1.9,16.8,3.0,0.0,-3.6
376,Mitchell Robinson,NYK,27,17,10,7,17.1,5.1,2.2,3.3,66.1,0.0,0.0,0.0,0.8,1.1,68.4,3.1,2.9,5.9,0.8,0.6,0.9,1.1,1.5,18.8,2.0,0.0,1.4
377,Javonte Green,CLE,31,68,24,44,18.5,5.1,1.8,4.2,42.9,0.7,2.1,32.6,0.8,1.1,72.4,0.9,2.3,3.2,0.8,0.5,1.0,0.5,1.4,14.0,0.0,0.0,-3.1
378,Alex Reese,PHI,25,15,4,11,14.4,5.1,1.7,3.6,48.1,1.0,2.7,36.6,0.6,0.8,75.0,0.6,2.5,3.1,0.3,0.4,0.7,0.7,1.4,12.8,0.0,0.0,1.3
379,Ben Simmons,LAC,28,51,26,25,22.0,5.0,2.3,4.4,52.0,0.0,0.0,0.0,0.5,0.6,72.7,0.9,3.8,4.7,5.6,2.0,0.7,0.5,2.1,20.7,1.0,0.0,-1.1
380,Alondes Williams,DET,25,1,0,1,3.7,5.0,2.0,2.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,6.0
381,Malaki Branham,SAS,21,47,18,29,9.1,5.0,1.9,4.0,45.8,0.7,1.8,40.5,0.6,0.7,81.8,0.1,0.9,1.1,0.8,0.7,0.2,0.0,0.6,7.6,0.0,0.0,-0.7
382,Neemias Queta,BOS,25,62,46,16,13.9,5.0,2.1,3.3,65.0,0.0,0.0,0.0,0.7,1.0,75.4,1.4,2.4,3.8,0.7,0.6,0.3,0.7,1.7,12.9,0.0,0.0,2.5
383,Kai Jones,DAL,24,40,20,20,11.7,5.0,2.2,2.7,79.8,0.0,0.1,20.0,0.6,0.8,71.9,1.0,2.1,3.1,0.6,0.5,0.4,0.6,1.3,12.0,1.0,0.0,-0.5
384,Lindy Waters III,DET,27,52,27,25,15.0,4.9,1.8,4.8,36.9,1.2,3.6,34.4,0.2,0.2,72.7,0.4,1.7,2.1,1.0,0.4,0.5,0.2,1.2,10.8,0.0,0.0,0.3
385,Trevelin Queen,ORL,28,31,15,16,13.9,4.9,1.8,4.7,38.1,0.7,2.5,28.6,0.6,0.7,85.7,0.8,0.9,1.7,1.2,0.7,1.0,0.3,1.2,12.1,0.0,0.0,-2.8
386,Jaylen Martin,WAS,21,16,3,13,14.9,4.9,1.9,4.6,41.9,0.4,1.4,30.4,0.6,0.6,90.0,0.7,2.1,2.8,1.1,0.8,0.6,0.0,0.9,10.7,0.0,0.0,-8.2
387,Jock Landale,HOU,29,42,26,16,11.9,4.8,1.9,3.6,53.3,0.3,0.6,42.3,0.6,1.0,67.5,1.3,1.9,3.3,0.9,0.5,0.3,0.2,1.2,11.1,1.0,0.0,-0.6
388,Colin Castleton,TOR,24,26,15,11,16.6,4.7,1.8,3.8,46.9,0.1,0.6,12.5,1.1,1.5,76.3,2.0,2.7,4.7,1.1,0.9,0.3,0.4,2.0,13.2,0.0,0.0,-1.2
389,Taylor Hendricks,UTA,21,3,0,3,24.8,4.7,1.3,6.0,22.2,1.0,4.0,25.0,1.0,1.3,75.0,1.7,3.3,5.0,0.7,0.7,1.7,1.3,2.7,20.0,0.0,0.0,-7.3
390,David Roddy,HOU,24,33,9,24,12.4,4.6,1.7,3.8,45.6,0.6,1.8,31.1,0.6,0.8,76.9,0.4,2.2,2.5,1.1,0.7,0.4,0.3,0.6,10.7,0.0,0.0,-2.3
391,Julian Phillips,CHI,21,79,37,42,14.2,4.6,1.6,3.6,44.6,0.6,1.9,32.7,0.8,1.0,78.9,0.8,1.3,2.1,0.5,0.3,0.5,0.3,1.4,9.8,0.0,0.0,0.4
392,Cody Williams,UTA,20,50,9,41,21.2,4.6,1.7,5.1,32.3,0.7,2.7,25.9,0.6,0.8,72.5,0.5,1.7,2.3,1.2,0.9,0.5,0.3,1.9,10.5,0.0,0.0,-6.8
393,Drew Eubanks,LAC,28,61,25,36,12.2,4.6,1.9,3.2,59.3,0.0,0.1,50.0,0.8,1.2,66.2,1.0,2.7,3.7,0.9,0.7,0.2,0.6,1.0,12.2,0.0,0.0,-2.1
394,Pelle Larsson,MIA,24,55,24,31,14.2,4.6,1.6,3.7,43.8,0.6,1.7,33.7,0.7,1.1,67.2,0.5,1.2,1.7,1.2,0.4,0.6,0.1,1.7,10.0,0.0,0.0,0.2
395,Kevon Looney,GSW,29,76,45,31,15.0,4.5,1.9,3.7,51.4,0.0,0.1,40.0,0.7,1.3,56.6,2.4,3.6,6.1,1.6,0.5,0.6,0.5,2.0,16.9,2.0,0.0,1.5
396,Mason Plumlee,PHX,35,74,33,41,17.6,4.5,1.7,2.7,61.9,0.0,0.1,0.0,1.1,1.7,64.8,1.6,4.6,6.1,1.8,0.8,0.4,0.6,2.1,17.0,2.0,0.0,0.7
397,Rob Dillingham,MIN,20,49,30,19,10.5,4.5,1.9,4.3,44.1,0.5,1.5,33.8,0.2,0.3,53.3,0.2,0.8,1.0,2.0,1.1,0.4,0.0,0.8,8.9,0.0,0.0,0.4
398,Dalen Terry,CHI,22,73,33,40,13.5,4.5,1.6,3.7,44.8,0.5,1.4,35.6,0.7,0.9,71.0,0.5,1.2,1.7,1.3,0.7,0.6,0.2,1.6,10.2,0.0,0.0,-2.4
399,Jett Howard,ORL,21,60,29,31,11.7,4.5,1.6,4.4,37.4,0.9,3.1,29.6,0.3,0.4,69.6,0.3,0.8,1.2,0.7,0.6,0.2,0.2,1.1,7.6,0.0,0.0,-1.4
400,Reed Sheppard,HOU,20,52,30,22,12.6,4.4,1.6,4.6,35.1,0.9,2.7,33.8,0.3,0.3,81.3,0.3,1.2,1.5,1.4,0.7,0.7,0.3,1.0,10.7,0.0,0.0,-1.0
401,Marvin Bagley III,MEM,26,31,7,24,8.6,4.4,1.8,3.4,51.9,0.1,0.6,15.8,0.7,1.1,65.7,1.2,1.5,2.7,0.4,0.4,0.3,0.3,0.6,9.4,1.0,0.0,-0.3
402,Reggie Jackson,PHI,35,31,11,20,12.4,4.4,1.7,4.3,39.1,0.8,2.4,33.8,0.2,0.3,77.8,0.3,1.1,1.4,1.5,0.5,0.5,0.1,1.1,9.5,0.0,0.0,-0.6
403,Charles Bassey,SAS,24,36,14,22,10.4,4.4,1.9,3.3,58.1,0.0,0.0,0.0,0.6,0.9,63.6,1.6,2.7,4.2,0.5,0.6,0.4,0.8,1.4,13.2,2.0,0.0,-3.6
404,Tony Bradley,IND,27,14,11,3,8.1,4.4,2.1,3.2,64.4,0.1,0.2,33.3,0.1,0.4,33.3,1.3,1.7,3.0,0.4,0.4,0.1,0.6,0.8,10.6,1.0,0.0,3.1
405,Lamar Stevens,MEM,27,17,7,10,9.1,4.4,1.7,3.7,46.0,0.5,1.6,29.6,0.5,0.6,72.7,0.2,2.0,2.2,0.5,0.6,0.3,0.2,0.9,8.6,0.0,0.0,3.9
406,Mo Bamba,NOP,26,32,19,13,12.9,4.3,1.6,3.5,46.4,0.5,1.7,27.8,0.6,0.8,70.4,1.0,3.5,4.5,0.6,0.6,0.3,1.0,1.8,13.7,0.0,0.0,-2.3
407,Terrence Shannon Jr.,MIN,24,32,21,11,10.6,4.3,1.7,3.6,48.2,0.3,1.0,35.5,0.5,0.7,81.0,0.3,1.2,1.5,1.0,0.5,0.2,0.2,0.8,8.2,1.0,0.0,0.3
408,Daniel Theis,NOP,33,38,10,28,16.3,4.3,1.6,3.4,47.3,0.2,1.0,24.3,0.8,1.0,83.8,1.2,3.2,4.3,1.6,0.7,0.5,0.5,1.8,14.2,1.0,0.0,-1.6
409,Micah Potter,UTA,27,38,10,28,18.6,4.3,1.5,3.6,42.2,0.8,2.6,31.6,0.4,0.5,85.0,1.1,3.2,4.3,0.8,0.8,0.4,0.4,1.3,12.1,0.0,0.0,-2.7
410,Jevon Carter,CHI,29,36,13,23,8.9,4.3,1.5,4.1,37.7,1.0,2.9,33.3,0.2,0.3,80.0,0.1,1.0,1.1,1.1,0.3,0.4,0.1,0.4,8.2,0.0,0.0,1.0
411,Cam Spencer,MEM,25,25,14,11,10.1,4.2,1.4,3.3,41.5,0.8,2.1,36.5,0.8,0.8,100,0.5,0.7,1.2,1.4,0.2,0.4,0.0,0.9,8.7,0.0,0.0,1.6
412,Dominick Barlow,ATL,21,35,13,22,10.7,4.2,1.7,3.2,53.1,0.2,0.8,25.9,0.6,0.9,63.6,1.0,1.4,2.4,0.5,0.1,0.3,0.5,1.3,10.0,1.0,0.0,-0.1
413,Duop Reath,POR,28,46,19,27,10.2,4.2,1.5,3.6,42.2,0.7,2.3,32.1,0.4,0.5,90.9,1.0,1.0,2.0,0.6,0.3,0.3,0.3,0.9,8.8,0.0,0.0,-1.2
414,Kessler Edwards,DAL,24,40,17,23,15.2,4.2,1.7,3.4,49.6,0.6,1.4,40.7,0.3,0.3,92.3,0.6,2.3,2.9,1.1,0.4,0.5,0.5,1.6,11.8,1.0,0.0,-4.0
415,Oso Ighodaro,PHX,22,61,25,36,17.1,4.2,1.9,3.1,60.4,0.0,0.0,0.0,0.5,0.8,58.0,1.1,2.6,3.6,1.2,0.6,0.5,0.5,1.7,12.5,0.0,0.0,-0.3
416,Wendell Moore Jr.,CHA,23,36,11,25,13.9,4.2,1.6,3.5,46.8,0.4,1.1,34.1,0.5,0.6,81.8,0.8,1.8,2.6,1.2,0.8,0.6,0.1,0.9,10.4,1.0,0.0,-3.7
417,Kris Murray,POR,24,69,31,38,15.1,4.2,1.7,4.0,41.9,0.4,1.7,22.5,0.4,0.8,45.6,1.1,1.5,2.6,1.0,0.6,0.5,0.2,1.0,10.4,1.0,0.0,-0.7
418,Torrey Craig,BOS,34,26,16,10,12.1,4.2,1.5,3.5,42.2,0.9,2.5,36.4,0.3,0.5,66.7,1.0,1.8,2.8,0.7,0.3,0.3,0.5,1.3,10.5,0.0,0.0,-1.9
419,Maxwell Lewis,BKN,22,28,9,19,11.7,4.1,1.6,3.9,41.7,0.7,1.8,38.0,0.3,0.4,70.0,0.6,1.3,2.0,0.7,0.5,0.3,0.3,1.0,8.7,0.0,0.0,-2.4
420,Caleb Houstan,ORL,22,58,29,29,13.6,4.1,1.4,3.3,42.1,1.1,2.8,40.0,0.3,0.3,88.2,0.3,1.0,1.3,0.6,0.2,0.4,0.1,1.1,7.8,0.0,0.0,-1.1
421,Jordan Miller,LAC,25,37,21,16,11.4,4.1,1.6,3.6,43.3,0.2,1.0,21.1,0.8,0.9,80.0,0.6,0.9,1.6,0.9,0.7,0.5,0.1,0.7,8.4,0.0,0.0,-1.7
422,Paul Reed,DET,25,45,22,23,9.7,4.1,1.6,3.2,50.7,0.2,0.6,28.6,0.7,0.9,76.2,0.9,1.8,2.7,1.0,0.6,0.9,0.6,1.7,12.5,0.0,0.0,1.0
423,Jarred Vanderbilt,LAL,26,36,25,11,16.1,4.1,1.6,3.4,48.8,0.3,0.9,28.1,0.6,1.0,55.6,1.9,3.2,5.1,1.1,0.8,1.0,0.3,1.9,14.8,0.0,0.0,1.0
424,Jalen Pickett,DEN,25,49,31,18,13.6,4.1,1.6,3.7,42.8,0.8,2.1,39.6,0.1,0.2,75.0,0.3,1.1,1.4,2.2,0.5,0.4,0.1,0.8,10.1,1.0,1.0,1.1
425,Jaylen Clark,MIN,23,40,28,12,13.0,4.1,1.4,3.0,46.7,0.6,1.3,43.1,0.7,0.9,78.4,0.7,0.7,1.3,0.7,0.2,0.9,0.1,1.5,9.3,0.0,0.0,1.1
426,Gui Santos,GSW,22,56,36,20,13.6,4.1,1.5,3.2,45.8,0.6,1.8,33.0,0.5,0.8,69.0,1.3,1.8,3.1,1.4,0.8,0.4,0.2,1.6,11.0,0.0,0.0,2.9
427,Colby Jones,WAS,22,39,12,27,13.2,4.0,1.5,3.3,45.7,0.4,1.3,32.7,0.6,0.9,65.7,0.5,1.7,2.2,1.1,0.6,0.7,0.3,0.9,10.8,1.0,0.0,-2.9
428,Nicolas Batum,LAC,36,78,47,31,17.5,4.0,1.3,3.1,43.7,1.1,2.6,43.3,0.2,0.3,81.0,0.6,2.2,2.8,1.1,0.4,0.7,0.5,1.4,11.9,0.0,0.0,1.9
429,Josh Richardson,MIA,31,8,4,4,18.7,4.0,1.4,4.8,28.9,0.8,2.8,27.3,0.5,0.5,100,0.8,0.8,1.5,1.5,1.0,1.0,0.1,2.1,10.4,0.0,0.0,-3.9
430,Malachi Flynn,CHA,26,4,2,2,10.9,4.0,1.3,3.3,38.5,0.3,1.0,25.0,1.3,1.5,83.3,0.8,1.0,1.8,1.8,1.0,0.8,0.0,1.0,10.0,0.0,0.0,0.3
431,Ron Harper Jr.,DET,25,1,0,1,17.0,4.0,1.0,8.0,12.5,0.0,6.0,0.0,2.0,2.0,100,4.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,-1.0
432,Kyle Lowry,PHI,39,35,14,21,18.8,3.9,1.2,3.3,35.0,0.8,2.5,33.0,0.8,0.9,81.8,0.3,1.6,1.9,2.7,0.6,0.9,0.3,1.8,13.5,0.0,0.0,-2.0
433,Steven Adams,HOU,31,58,38,20,13.7,3.9,1.6,2.9,54.5,0.0,0.0,0.0,0.7,1.6,46.2,2.9,2.8,5.6,1.1,0.9,0.4,0.5,1.0,14.0,3.0,0.0,3.0
434,Olivier-Maxence Prosper,DAL,22,52,27,25,11.2,3.9,1.3,3.3,40.2,0.2,1.0,23.5,0.9,1.5,64.5,0.8,1.6,2.4,0.8,0.3,0.5,0.1,0.5,9.5,0.0,0.0,-2.0
435,Ousmane Dieng,OKC,21,37,30,7,10.9,3.8,1.5,3.4,43.2,0.6,1.9,32.4,0.3,0.4,68.8,0.5,1.7,2.2,0.8,0.5,0.5,0.2,0.9,9.2,0.0,0.0,1.2
436,Devin Carter,SAC,23,36,18,18,11.0,3.8,1.3,3.5,37.0,0.5,1.7,29.5,0.7,1.2,59.1,0.5,1.6,2.1,1.1,0.5,0.6,0.1,1.1,9.7,0.0,0.0,1.2
437,Patty Mills,LAC,36,29,12,17,11.1,3.8,1.2,3.3,37.5,0.9,2.6,34.7,0.4,0.5,92.9,0.1,0.6,0.8,0.9,0.6,0.4,0.1,0.8,7.2,0.0,0.0,-0.5
438,Branden Carlson,OKC,25,32,29,3,7.7,3.8,1.3,3.0,44.3,0.7,2.1,33.3,0.4,0.6,77.8,0.5,1.2,1.7,0.4,0.2,0.2,0.7,0.7,8.7,1.0,0.0,1.3
439,Blake Wesley,SAS,22,58,23,35,11.8,3.7,1.4,3.2,43.5,0.3,1.0,29.3,0.7,1.1,62.3,0.3,0.8,1.1,2.0,0.9,0.6,0.1,0.8,9.2,0.0,0.0,-0.2
440,Markieff Morris,LAL,35,15,7,8,11.0,3.7,1.4,4.7,30.0,0.6,2.4,25.0,0.3,0.4,83.3,0.2,1.3,1.5,1.4,0.3,0.1,0.2,1.1,8.3,0.0,0.0,-1.9
441,DeAndre Jordan,DEN,36,56,37,19,12.3,3.7,1.6,2.5,65.0,0.0,0.0,0.0,0.5,1.1,42.2,1.5,3.6,5.1,0.9,0.7,0.3,0.5,1.3,12.8,3.0,0.0,-0.8
442,Emoni Bates,CLE,21,10,9,1,7.5,3.7,1.3,3.8,34.2,1.1,3.0,36.7,0.0,0.0,0.0,0.0,0.7,0.7,0.8,0.2,0.1,0.1,0.4,6.1,0.0,0.0,-3.4
443,Craig Porter Jr.,CLE,25,51,40,11,10.1,3.7,1.4,2.7,51.4,0.4,0.9,43.8,0.5,0.6,71.9,0.4,0.9,1.3,1.4,0.7,0.3,0.3,0.5,8.5,0.0,0.0,-0.9
444,Jackson Rowe,GSW,28,6,4,2,8.6,3.7,1.3,2.8,47.1,0.5,1.7,30.0,0.5,1.0,50.0,0.5,1.3,1.8,0.7,0.2,0.7,0.0,0.7,8.7,0.0,0.0,3.8
445,Baylor Scheierman,BOS,24,31,27,4,12.4,3.6,1.3,3.5,35.5,0.8,2.6,31.7,0.3,0.4,75.0,0.6,1.5,2.1,1.1,0.4,0.5,0.1,0.7,9.2,0.0,0.0,0.9
446,Jae'Sean Tate,HOU,29,52,38,14,11.3,3.6,1.3,2.8,47.3,0.3,0.9,34.8,0.6,0.9,68.1,1.0,1.3,2.3,0.9,0.4,0.5,0.1,1.6,9.2,0.0,0.0,1.0
447,Jaylon Tyson,CLE,22,47,37,10,9.6,3.6,1.4,3.2,43.0,0.4,1.2,34.5,0.4,0.5,79.2,0.8,1.3,2.0,0.9,0.6,0.3,0.1,1.1,7.9,1.0,0.0,0.0
448,JT Thor,WAS,22,20,10,10,12.5,3.6,1.3,3.0,42.4,0.3,1.1,28.6,0.8,1.1,68.2,1.0,1.4,2.4,0.3,0.5,0.4,0.5,0.9,9.0,0.0,0.0,-4.8
449,Elfrid Payton,NOP,31,24,3,21,21.3,3.5,1.7,5.1,32.8,0.0,0.3,16.7,0.2,0.3,57.1,0.6,2.7,3.3,6.9,2.5,1.0,0.5,1.5,19.8,2.0,0.0,-6.2
450,Cory Joseph,ORL,33,50,26,24,12.2,3.5,1.2,3.1,40.3,0.8,2.1,36.4,0.3,0.4,77.8,0.3,1.1,1.5,1.4,0.4,0.5,0.1,1.0,8.9,0.0,0.0,0.7
451,Luka Garza,MIN,26,39,28,11,5.6,3.5,1.3,2.7,49.5,0.3,0.9,27.8,0.6,0.9,68.6,0.8,0.6,1.4,0.3,0.3,0.2,0.1,0.7,6.0,0.0,0.0,0.0
